Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250422;94,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208616;215109563,59;90540000
20250422;248,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208550;215109469,59;90540000
20250422;245,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208549;215109221,59;90540000
20250422;163,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208549;215108976,59;90540000
20250422;1.635,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208542;215108813,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208542;215107178,59;90540000
20250422;265,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208391;215107058,59;90540000
20250422;62,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208370;215106793,59;90540000
20250422;505,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208370;215106731,59;90540000
20250422;143,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208368;215106226,59;90540000
20250422;53,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208367;215106083,59;90540000
20250422;72,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208279;215106030,59;90540000
20250422;311,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208245;215105958,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208235;215105647,59;90540000
20250422;28,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208235;215105527,59;90540000
20250422;132,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208234;215105499,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208228;215105367,59;90540000
20250422;72,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208228;215105247,59;90540000
20250422;78,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208202;215105175,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208202;215105097,59;90540000
20250422;278,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208196;215104977,59;90540000
20250422;265,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208170;215104699,59;90540000
20250422;49,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208166;215104434,59;90540000
20250422;326,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208147;215104385,59;90540000
20250422;314,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208141;215104059,59;90540000
20250422;200,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208139;215103745,59;90540000
20250422;54,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208116;215103545,59;90540000
20250422;92,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208115;215103491,59;90540000
20250422;32,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208114;215103399,59;90540000
20250422;21,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208113;215103367,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208112;215103346,59;90540000
20250422;47,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208112;215103226,59;90540000
20250422;173,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208109;215103179,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208109;215103006,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208069;215102886,59;90540000
20250422;1.192,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208069;215102766,59;90540000
20250422;2.835,00;DANKORT-SALG;Dankort-salg 16.04 4862899 924250;215101574,59;90540000
20250422;3.105,00;DANKORT-SALG;Dankort-salg 16.04 4862899 521450;215098739,59;90540000
20250422;1.040,00;DANKORT-SALG;Dankort-salg 16.04 4771850 545350;215095634,59;90540000
20250422;84,00;DANKORT-SALG;Dankort-salg 16.04 3796930 590450;215094594,59;90540000
20250422;384,00;DANKORT-SALG;Dankort-salg 16.04 3796930 040650;215094510,59;90540000
20250422;375,00;DANKORT-SALG;Dankort-salg 16.04 3796914 878850;215094126,59;90540000
20250422;2.786,00;DANKORT-SALG;Dankort-salg 16.04 3796914 878650;215093751,59;90540000
20250422;887,00;DANKORT-SALG;Dankort-salg 16.04 3796892 673050;215090965,59;90540000
20250422;160,00;DANKORT-SALG;Dankort-salg 16.04 3796884 623350;215090078,59;90540000
20250422;234,00;DANKORT-SALG;Dankort-salg 16.04 3796817 779450;215089918,59;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 16.04 3796795 278850;215089684,59;90540000
20250422;1.383,00;DANKORT-SALG;Dankort-salg 16.04 3796671 706250;215089564,59;90540000
20250422;300,00;DANKORT-SALG;Dankort-salg 16.04 3796663 987350;215088181,59;90540000
20250422;239,50;DANKORT-SALG;Dankort-salg 16.04 2471043 092209;215087881,59;90540000
20250422;221,00;DANKORT-SALG;Dankort-salg 16.04 1992317 330450;215087642,09;90540000
20250422;3.190,00;OVERFØRSEL;Overførsel Vedr. 091036-1856;214960755,32;90540000
20250422;121.405,75;OVERFØRSEL;Overførsel Ref. dec 131062;214957565,32;90540000
20250422;150,00;OVERFØRSEL;Overførsel N42250770292;214836159,57;90540000
20250422;49.997,00;OVERFØRSEL;Overførsel N36549770435;214836009,57;90540000
20250422;3.091,86;OVERFØRSEL;Overførsel N27026770269;214786012,57;90540000
