Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250505;522,00;DANKORT-SALG;Dankort-salg 02.05 6256651 HIASCC;293397124,66;90540000
20250505;1.034,00;DANKORT-SALG;Dankort-salg 02.05 6256651 GS9DUW;293396602,66;90540000
20250505;1.034,00;DANKORT-SALG;Dankort-salg 02.05 6256651 ED3IFK;293395568,66;90540000
20250505;370,00;DANKORT-SALG;Dankort-salg 02.05 6256651 B7B2DE;293394534,66;90540000
20250505;1.034,00;DANKORT-SALG;Dankort-salg 02.05 6256651 B6N761;293394164,66;90540000
20250505;996,00;DANKORT-SALG;Dankort-salg 02.05 6201830 319650;293393130,66;90540000
20250505;541,00;DANKORT-SALG;Dankort-salg 02.05 5991390 215350;293392134,66;90540000
20250505;159,00;DANKORT-SALG;Dankort-salg 02.05 5891507 278750;293391593,66;90540000
20250505;75,00;DANKORT-SALG;Dankort-salg 02.05 5887356 165950;293391434,66;90540000
20250505;4.160,00;DANKORT-SALG;Dankort-salg 02.05 5846102 814650;293391359,66;90540000
20250505;405,00;DANKORT-SALG;Dankort-salg 02.05 5541069 267250;293387199,66;90540000
20250505;200,00;DANKORT-SALG;Dankort-salg 02.05 5078318 2823;293386794,66;90540000
20250505;227,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208929;293386594,66;90540000
20250505;1.021,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208618;293386367,66;90540000
20250505;373,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208551;293385346,66;90540000
20250505;798,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208542;293384973,66;90540000
20250505;354,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208393;293384175,66;90540000
20250505;195,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208373;293383821,66;90540000
20250505;422,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208371;293383626,66;90540000
20250505;892,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208371;293383204,66;90540000
20250505;95,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208279;293382312,66;90540000
20250505;62,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208245;293382217,66;90540000
20250505;148,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208235;293382155,66;90540000
20250505;49,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208235;293382007,66;90540000
20250505;147,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208234;293381958,66;90540000
20250505;136,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208228;293381811,66;90540000
20250505;96,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208202;293381675,66;90540000
20250505;128,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208196;293381579,66;90540000
20250505;120,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208196;293381451,66;90540000
20250505;426,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208170;293381331,66;90540000
20250505;219,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208166;293380905,66;90540000
20250505;464,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208161;293380686,66;90540000
20250505;306,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208147;293380222,66;90540000
20250505;294,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208141;293379916,66;90540000
20250505;24,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208139;293379622,66;90540000
20250505;181,00;DANKORT-SALG;Dankort-salg 02.05 4922735 208109;293379598,66;90540000
